Temp	Pres	Fail	n	Erosion	BlowBy	Damage	ID	Date	
66	50	0	6	0	0	0	1	12.04.1981	
70	50	1	6	1	0	4	2	12.11.1981	
69	50	0	6	0	0	0	3	22.03.1982	
68	50	0	6	0	0	0	5	11.11.1982	
67	50	0	6	0	0	0	6	04.04.1983	
72	50	0	6	0	0	0	7	18.06.1983	
73	50	0	6	0	0	0	8	30.08.1983	
70	100	0	6	0	0	0	9	28.11.1983	
57	100	1	6	1	0	4	41-B	03.02.1984	
63	200	1	6	1	0	2	41-C	06.04.1984	
70	200	1	6	1	0	4	41-D	30.08.1984	
78	200	0	6	0	0	0	41-G	05.10.1984	
67	200	0	6	0	0	0	51-A	08.11.1984	
53	200	2	6	3	2	11	51-C	24.01.1985	
67	200	0	6	0	0	0	51-D	12.04.1985	
75	200	0	6	0	0	0	51-B	29.04.1985
70	200	0	6	0	0	0	51-G	17.06.1985
81	200	0	6	0	0	0	51-F	29.07.1985
76	200	0	6	0	0	0	51-I	27.08.1985
79	200	0	6	0	0	0	51-J	03.10.1985
75	200	2	6	0	2	4	61-A	30.10.1985
76	200	0	6	0	0	0	61-B	26.11.1985
58	200	1	6	1	0	4	61-C	12.01.1986
