Termin	Ort	Ertrag
T1	A	6.12
T1	A	5.67
T1	A	5.22
T1	A	6.10
T1	B	7.02
T1	B	7.93
T1	B	6.60
T1	B	6.12
T1	C	1.99
T1	C	2.89
T1	C	1.68
T1	C	2.13
T2	A	6.34
T2	A	5.67
T2	A	5.66
T2	A	5.17
T2	B	7.02
T2	B	7.69
T2	B	6.61
T2	B	5.19
T2	C	2.45
T2	C	2.80
T2	C	2.47
T2	C	2.71
T3	A	3.83
T3	A	4.30
T3	A	5.20
T3	A	4.33
T3	B	3.85
T3	B	4.57
T3	B	4.56
T3	B	4.70
T3	C	3.17
T3	C	1.50
T3	C	1.95
T3	C	1.96
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
