"Land","Flaeche","Stoerche","Menschen","Geburtenrate"
"1","Albanien", 28750,  100, 3.2,  83
"2","Belgien", 30520,    1, 9.9,  87
"3","Bulgarien",111000, 5000, 9.0, 117
"4","Daenemark", 43100,    9, 5.1,  59
"5","Deutschland",357000, 3300,78.0, 901
"6","Frankreich",544000,  140,56.0, 774
"7","Griechenland",132000, 2500,10.0, 106
"8","Holland", 41900,    4,15.0, 188
"9","Italien",301280,    5,57.0, 551
"10","Oesterreich", 83860,  300, 7.6,  87
"11","Polen",312680,30000,38.0, 610
"12","Portugal", 92390, 1500,10.0, 120
"13","Rumaenien",237500, 5000,23.0,  23
"14","Spanien",504750, 8000,39.0, 439
"15","Schweiz", 41290,  150, 6.7,  82
"16","Tuerkei",779450,25000,56.0,1576
"17","Ungarn", 93000, 5000,11.0, 124
